My Prev,Incoming Shot,Incoming Direction,Opponent Previous,Outgoing Direction,Outgoing Shot,Point Winner,Rally,Serving,Serve,Second Prev,Opponent_2nd,Prev Shot,Surface
3,forehand groundstoke,left,2,left,backhand groundstroke,0,9,yes,down the t,2,3,backhand slice,Hard
4,backhand lob,right,3,left,forehand overhead,1,5,yes,body,2,1,backhand groundstroke,Hard
2,backhand groundstroke,middle,2,middle,forehand groundstoke,0,9,yes,down the t,3,3,backhand groundstroke,Hard
3,backhand slice,left,1,left,forehand groundstoke,1,4,yes,out wide,1,3,out wide,Hard
1,backhand groundstroke,right,1,right,forehand groundstoke,1,4,yes,down the t,1,1,down the t,Hard
6,backhand slice,left,3,right,backhand volley,1,5,yes,out wide,2,1,forehand groundstoke,Hard
2,backhand groundstroke,middle,2,left,forehand groundstoke,1,6,yes,body,2,1,forehand groundstoke,Hard
1,forehand groundstoke,right,1,left,forehand slice,0,7,yes,out wide,3,2,backhand groundstroke,Hard
3,forehand groundstoke,left,1,left,backhand groundstroke,1,8,yes,out wide,2,3,forehand groundstoke,Hard
6,backhand groundstroke,left,3,left,backhand volley,0,6,yes,body,2,1,backhand groundstroke,Hard
2,backhand groundstroke,middle,3,right,forehand groundstoke,1,8,yes,down the t,2,3,forehand groundstoke,Hard
3,forehand groundstoke,left,3,left,backhand groundstroke,0,10,yes,out wide,3,3,backhand groundstroke,Hard
3,backhand groundstroke,left,1,left,backhand groundstroke,1,4,yes,body,1,3,body,Hard
1,forehand groundstoke,right,3,right,forehand groundstoke,1,12,yes,down the t,3,2,backhand slice,Hard
1,backhand slice,right,3,right,forehand groundstoke,0,5,yes,body,3,1,backhand groundstroke,Hard
3,backhand groundstroke,left,3,left,backhand groundstroke,0,19,yes,body,2,2,forehand groundstoke,Hard
2,forehand groundstoke,middle,1,right,forehand groundstoke,1,4,yes,down the t,1,2,down the t,Hard
1,forehand groundstoke,right,2,middle,forehand slice,0,13,yes,down the t,2,2,backhand groundstroke,Hard
2,forehand groundstoke,middle,2,middle,forehand groundstoke,0,5,yes,down the t,2,1,forehand groundstoke,Hard
2,forehand slice,middle,1,left,forehand groundstoke,1,6,yes,down the t,2,1,forehand groundstoke,Hard
3,forehand groundstoke,left,2,left,backhand groundstroke,0,6,yes,out wide,3,1,backhand groundstroke,Hard
1,forehand groundstoke,right,1,middle,forehand groundstoke,0,4,yes,out wide,1,1,out wide,Hard
2,forehand groundstoke,middle,2,middle,forehand groundstoke,1,8,yes,down the t,3,3,backhand groundstroke,Hard
2,backhand groundstroke,middle,1,right,forehand groundstoke,1,4,yes,out wide,1,2,out wide,Hard
2,backhand groundstroke,middle,1,left,backhand groundstroke,1,4,yes,down the t,1,2,down the t,Hard
3,backhand groundstroke,left,3,left,backhand slice,0,7,yes,out wide,2,2,backhand groundstroke,Hard
3,forehand groundstoke,left,1,left,backhand groundstroke,1,4,yes,down the t,1,3,down the t,Hard
1,backhand slice,right,3,right,forehand groundstoke,0,5,yes,down the t,2,1,backhand slice,Hard
1,forehand groundstoke,right,2,right,forehand groundstoke,0,5,yes,out wide,3,1,backhand groundstroke,Hard
3,backhand groundstroke,left,3,left,backhand dropshot,1,6,yes,down the t,3,1,backhand groundstroke,Hard
2,backhand groundstroke,middle,1,right,backhand groundstroke,0,3,yes,body,1,2,body,Hard
1,forehand groundstoke,right,1,middle,forehand groundstoke,1,4,yes,body,1,1,body,Hard
3,backhand groundstroke,left,3,left,backhand groundstroke,0,11,yes,down the t,2,3,forehand groundstoke,Hard
2,forehand groundstoke,middle,1,left,forehand groundstoke,1,3,yes,out wide,1,2,out wide,Hard
1,forehand groundstoke,right,1,left,forehand groundstoke,0,3,yes,down the t,1,1,down the t,Hard
2,forehand groundstoke,middle,1,right,backhand groundstroke,0,5,yes,out wide,2,1,forehand groundstoke,Hard
2,forehand groundstoke,middle,1,middle,forehand groundstoke,1,4,yes,down the t,1,2,down the t,Hard
3,forehand groundstoke,left,3,right,backhand groundstroke,1,8,yes,out wide,3,3,backhand groundstroke,Hard
3,forehand groundstoke,left,1,left,backhand slice,0,5,yes,down the t,1,1,forehand groundstoke,Hard
